"year","keyword","LL","totalword","o1","o2","e1","e2","Repeats","rank"
"1960","can dig",435.174946732318,106,92,14,6.41182694500936,99.5881730549906,FALSE,1
"1960","dig",360.510509578303,207,113,94,12.5212092228013,194.478790777199,FALSE,2
"1960","oh happy",181.876355226395,41,37,4,2.48004627118287,38.5199537288171,FALSE,3
"1960","miles",126.101175209247,169,59,110,10.2226297519489,158.777370248051,FALSE,4
"1960","help",113.594721087709,765,131,634,46.2740340842657,718.725965915734,FALSE,5
"1960","im black",109.724863721729,40,28,12,2.41955733773938,37.5804426622606,FALSE,6
"1960","monday",104.346651135748,83,38,45,5.02058147580922,77.9794185241908,FALSE,7
"1960","mine",101.713562239803,1033,153,880,62.4850682471195,970.51493175288,FALSE,8
"1960","lovin",99.8404441900925,625,110,515,37.8055834021779,587.194416597822,FALSE,9
"1960","im proud",99.5510468845147,45,28,17,2.72200200495681,42.2779979950432,FALSE,10
"1960","sweet",95.9350529677858,1136,160,976,68.7154283917985,1067.2845716082,FALSE,11
"1960","good lovin",95.646458755554,55,30,25,3.32689133939165,51.6731086606083,FALSE,12
"1960","inspiration",94.903131675526,44,27,17,2.66151307151332,41.3384869284867,FALSE,13
"1960","green",93.2963839739128,170,51,119,10.2831186853924,159.716881314608,FALSE,14
"1960","baby",93.2475787779171,9098,783,8315,550.328316468823,8547.67168353118,FALSE,15
"1960","make mine",92.3469641474455,66,32,34,3.99226960726998,62.00773039273,FALSE,16
"1960","proud",86.5857755274067,143,45,98,8.64991748241829,134.350082517582,FALSE,17
"1960","light fire",86.3848727651125,38,24,14,2.29857947085241,35.7014205291476,FALSE,18
"1960","gonna make mine",84.8699267264369,26,20,6,1.5727122695306,24.4272877304694,FALSE,19
"1960","mia",82.293647791297,30,21,9,1.81466800330454,28.1853319966955,FALSE,20
"1960","valley",81.7142272160089,57,28,29,3.44786920627862,53.5521307937214,FALSE,21
"1960","judge",81.1332096364654,62,29,33,3.75031387349604,58.249686126504,FALSE,22
"1960","paperback",80.6276502362471,22,18,4,1.33075653575666,20.6692434642433,FALSE,23
"1960","grass",78.0290354812291,96,35,61,5.80693761057452,90.1930623894255,FALSE,24
"1960","go home",76.2109117185225,110,37,73,6.6537826787833,103.346217321217,FALSE,25
"1970","boogie",677.401676999819,313,247,66,43.0223736695118,269.977626330488,FALSE,1
"1970","love",357.368445446097,15283,2946,12337,2100.67391946054,13182.3260805395,FALSE,2
"1970","woman",236.37184750233,796,282,514,109.411531760164,686.588468239836,FALSE,3
"1970","float",193.374234924115,86,69,17,11.8208438836358,74.1791561163642,FALSE,4
"1970","band",190.441641228308,195,109,86,26.8030762477789,168.196923752221,FALSE,5
"1970","yes can",188.762833715717,81,66,15,11.1335855183082,69.8664144816918,FALSE,6
"1970","funk",180.351695274359,206,110,96,28.3150446514998,177.6849553485,FALSE,7
"1970","lord",178.345284959434,359,153,206,49.3451506305263,309.654849369474,FALSE,8
"1970","disco",162.087321151974,109,73,36,14.9822323641431,94.0177676358569,FALSE,9
"1970","sweet",143.010019824568,1136,310,826,156.145100602445,979.854899397555,FALSE,10
"1970","louie",139.827473271306,56,47,9,7.69729369166985,48.3027063083302,FALSE,11
"1970","dancing",130.056702976924,362,137,225,49.7575056497229,312.242494350277,FALSE,12
"1970","morning",124.259510641763,509,169,340,69.9629015903563,439.037098409644,FALSE,13
"1970","bell",115.486164463256,83,54,29,11.4084888644392,71.5915111355608,FALSE,14
"1970","ole",113.990463364976,45,38,7,6.18532528794898,38.814674712051,FALSE,15
"1970","mighty",111.149344151689,94,57,37,12.9204572681601,81.0795427318399,FALSE,16
"1970","gimme",105.513184331399,386,133,253,53.0563458032957,332.943654196704,FALSE,17
"1970","fever",104.075572561661,73,48,25,10.0339721337839,62.9660278662161,FALSE,18
"1970","best love",99.5372823710896,41,34,7,5.63551859568685,35.3644814043132,FALSE,19
"1970","mash",99.1790974772711,37,32,5,5.08571190342472,31.9142880965753,FALSE,20
"1970","robin",99.1790974772711,37,32,5,5.08571190342472,31.9142880965753,FALSE,21
"1970","dance",97.3255236484306,1542,356,1186,211.950479867052,1330.04952013295,FALSE,22
"1970","home",96.2457411555197,1475,343,1132,202.741217771661,1272.25878222834,FALSE,23
"1970","floor let",91.9069345263549,33,29,4,4.53590521116259,28.4640947888374,FALSE,24
"1970","lovin",90.055357242302,625,177,448,85.9072956659581,539.092704334042,FALSE,25
"1980","love",192.051762567459,15283,3262,12021,2598.29484653263,12684.7051534674,FALSE,1
"1980","night",183.182087573625,3598,935,2663,611.703517491619,2986.29648250838,FALSE,2
"1980","heart",154.821439289034,2871,754,2117,488.10472449095,2382.89527550905,FALSE,3
"1980","mickey",134.730493276296,47,44,3,7.99056846084105,39.009431539159,FALSE,4
"1980","shes",132.605093093634,1432,420,1012,243.457319913285,1188.54268008672,FALSE,5
"1980","tonight",131.174203063671,1587,454,1133,269.809194624569,1317.19080537543,FALSE,6
"1980","ive",129.5036365142,2652,684,1968,450.872075705329,2201.12792429467,FALSE,7
"1980","seeds",127.512413330192,54,47,7,9.18065312522163,44.8193468747784,FALSE,8
"1980","monkey",121.873766197374,79,58,21,13.4309554980094,65.5690445019906,FALSE,9
