"","Artist","Freq"
"1142","madonna",36
"1152","mariah carey",29
"1523","rihanna",28
"589","elton john",26
"845","janet jackson",23
"1218","michael jackson",22
"1706","stevie wonder",22
"2034","usher",21
"2079","whitney houston",21
"1744","taylor swift",20
"171","beyonce",19
"1438","pink",18
"353","chris brown",17
"988","katy perry",17
"998","kelly clarkson",17
"1475","r kelly",17
"1773","the beatles",17
"270","britney spears",16
"1164","maroon 5",16
"1780","the black eyed peas",16
"351","chicago",15
"595","eminem",15
"102","aretha franklin",14
"546","drake",14
"1118","ludacris",14
"1545","rod stewart",14
"252","boyz ii men",13
"974","justin timberlake",13
"1031","kool  the gang",13
"1043","lady gaga",13
"1432","phil collins",13
"1904","the rolling stones",13
"42","aerosmith",12
"65","alicia keys",12
"158","bee gees",12
"185","billy joel",12
"240","bon jovi",12
"485","destinys child",12
"980","kanye west",12
"1079","lionel richie",12
"1294","neil diamond",12
"1349","olivia newtonjohn",12
"1928","the temptations",12
"28","aaliyah",11
"147","barry manilow",11
"281","bryan adams",11
"344","cher",11
"439","daryl hall  john oates",11
"492","diana ross",11
"553","duran duran",11
"705","george michael",11
"858","jayz",11
"867","jennifer lopez",11
"1299","nelly",11
"1314","neyo",11
"1319","nickelback",11
"1791","the carpenters",11
"1963","ti",11
"256","brandy",10
"323","celine dion",10
"533","donna summer",10
"654","fleetwood mac",10
"655","flo rida",10
"699","genesis",10
"792","huey lewis and the news",10
"1072","lil wayne",10
"1170","marvin gaye",10
"1214","michael bolton",10
"1511","richard marx",10
"1922","the supremes",10
"1977","tlc",10
"19","50 cent",9
"278","bruce springsteen",9
"506","dionne warwick",9
"560","earth wind  fire",9
"583","electric light orchestra",9
"662","foreigner",9
"1002","kenny chesney",9
"1007","kenny rogers",9
"1174","mary j blige",9
"1240","miley cyrus",9
"1455","prince",9
"1590","santana",9
"1711","styx",9
"1962","three dog night",9
"1995","toni braxton",9
"11","3 doors down",8
"47","air supply",8
"48","akon",8
"95","anne murray",8
"122","avril lavigne",8
"226","bobby brown",8
"280","bruno mars",8
"360","christina aguilera",8
"391","commodores",8
"558","eagles",8
"601","enrique iglesias",8
"608","eric clapton",8
"634","fall out boy",8
"763","heart",8
"995","keith sweat",8
"1247","missy elliott",8
"1254","monica",8
"1321","nicki minaj",8
"1440","pitbull",8
"1468","queen",8
"1605","sean paul",8
"1627","sheryl crow",8
"1742","taylor dayne",8
"1772","the beach boys",8
"1967","tim mcgraw",8
"1983","tom jones",8
"40","adele",7
"85","andy gibb",7
"133","backstreet boys",7
"405","creedence clearwater revival",7
"451","david guetta",7
"468","def leppard",7
"719","ginuwine",7
"720","gladys knight  the pips",7
