"keyword","count"
"love",15283
"dont",11587
"know",11166
"like",10949
"just",9577
"baby",9098
"got",8289
"get",8265
"can",8122
"youre",6592
"now",6525
"yeah",6260
"want",6214
"make",5520
"one",5413
"cant",5338
"see",5264
"time",5176
"let",4927
"come",4867
"girl",4804
"wanna",4767
"say",4757
"never",4753
"cause",4691
"gonna",4550
"way",4483
"take",4302
"ill",4216
"right",3946
"back",3938
"need",3735
"feel",3697
"will",3611
"night",3598
"aint",3592
"tell",3445
"give",3148
"oh oh",3050
"life",2901
"good",2885
"heart",2871
"thats",2727
"ive",2652
"think",2640
"away",2580
"little",2553
"keep",2547
"man",2466
"well",2420
"wont",2313
"around",2228
"hey",2216
"day",2215
"said",2163
"ever",2130
"world",2103
"ooh",2077
"every",2061
"theres",1942
"mind",1930
"gotta",1926
"long",1918
"look",1903
"really",1880
"oh oh oh",1867
"still",1843
"always",1781
"turn",1733
"hold",1726
"yeah yeah",1719
"eyes",1714
"thing",1697
"find",1686
"lets",1662
"better",1655
"put",1646
"dont know",1641
"boy",1613
"tonight",1587
"things",1560
"la la",1558
"stop",1555
"call",1553
"much",1552
"dance",1542
"home",1475
"show",1443
"shes",1432
"hear",1398
"youll",1377
"without",1367
"na na",1366
"gone",1359
"real",1354
"rock",1320
"oh oh oh oh",1291
"everything",1269
"leave",1265
"try",1260
"bad",1258
"believe",1245
"la la la",1245
"hard",1241
"nothing",1236
"new",1223
"even",1219
"live",1210
"shake",1207
"stay",1204
"something",1202
"head",1158
"money",1142
"sweet",1136
"move",1129
"play",1125
"another",1121
"youve",1117
"going",1104
"body",1089
"run",1088
"made",1068
"na na na",1049
"please",1038
"im gonna",1035
"everybody",1033
"mine",1033
"true",1022
"hands",1018
"yes",1017
"light",1015
"la la la la",1002
"love love",1001
"walk",994
"inside",991
"break",977
"name",977
"alone",975
"talk",975
"people",972
"two",967
"big",964
"together",954
"hot",949
"wrong",946
"place",943
"girls",942
"touch",942
"fall",925
"feeling",922
"yeah yeah yeah",913
"best",908
"cry",899
"ride",898
"bring",896
"shit",896
"remember",894
"left",889
"bout",884
"forever",874
